"id","idDapil","nama","namaPartai","noUrut","originalFilename","stringJenisKelamin"
171648,10,"YULI ENDAH WULAN SARI, SH","PARTAI BERKARYA",6,"FOTO.JPG","Perempuan"
163460,10,"DESSIANA SAVITRI, SH","PARTAI BERKARYA",7,"FOTO.JPG","Perempuan"
69242,10,"DRS. H. GUFRON AZIS FUADI","Partai Keadilan Sejahtera",1,"KAWILDA 4x6.jpg","Laki-Laki"
92172,10,"IR. HJ. ESRITA USMAN ERMULAN, M.SI","Partai Keadilan Sejahtera",2,"ESRITA USMAN ERMULAN.jpg","Perempuan"
175721,10,"DRS. H. M. NAJMI, M.Pd.I","Partai Keadilan Sejahtera",3,"M. NAJMI.JPG","Laki-Laki"
45455,10,"H. CHAIRUL WALID, S.Pd , M.Si","Partai Keadilan Sejahtera",4,"CAD 2019  (21).jpg","Laki-Laki"
90975,10,"RENI LESTARI, S.SI","Partai Keadilan Sejahtera",5,"reni lestari.jpeg","Perempuan"
93686,10,"M. AMIN, MA","Partai Keadilan Sejahtera",6,"amin Jambi.jpeg","Laki-Laki"
177425,10,"MERRY EMY YUSTIKA, S.Pd","Partai Keadilan Sejahtera",7,"merry emy jambi.jpeg","Perempuan"
177646,10,"DRS. DAHNIL MIFTAH, M.Si","Partai Keadilan Sejahtera",8,"dahnil miftah jambi.jpeg","Laki-Laki"
49437,10,"A. SALAM. HD, S.HI","Persatuan Indonesia",1,"A SALAM.jpg","Laki-Laki"
50156,10,"NANDO FIRDAUS, S.IP","Persatuan Indonesia",2,"nando.jpg","Laki-Laki"
49922,10,"AGUS LOMARA SEMBIRING","Persatuan Indonesia",3,"AGUS LOMARA.jpg","Perempuan"
50226,10,"HENDRA, SH","Persatuan Indonesia",4,"HENDRA.JPG","Laki-Laki"
49330,10,"BINSAR MANALU, S.E, M.M","Persatuan Indonesia",5,"BINSAR MANALU.jpg","Laki-Laki"
212864,10,"ARNETA","Persatuan Indonesia",6,"ARNETA.jpg","Perempuan"
212290,10,"BINCAR LUSIANA","Persatuan Indonesia",7,"BINCAR LUSIANA.jpg","Perempuan"
213378,10,"DASMAN, ST","Persatuan Indonesia",8,"DASMAN.jpg","Laki-Laki"
243433,10,"ANDI MASMIYAT","Partai Persatuan pembangunan",1,"Ft Andi Masmiyat.jpg","Laki-Laki"
88983,10,"AMBO INTANG AZIKIN","Partai Persatuan pembangunan",2,"Foto Ambo.jpg","Laki-Laki"
254839,10,"WINDY WIDYANTI","Partai Persatuan pembangunan",3,"FOTO WINDY WIDYANTI.jpg","Perempuan"
136798,1,"AMRI M ALI","Partai Persatuan pembangunan",1,"FHOTO.amri ali.jpg","Laki-Laki"
135877,1,"T ZULFIKAR THAIB ALY, SH","Partai Persatuan pembangunan",2,"Fhoto.jpg","Laki-Laki"
84486,1,"HJ. ILLIZA SA'ADUDDIN DJAMAL, SE","Partai Persatuan pembangunan",3,"fhto.jpeg","Perempuan"
266648,1,"ROSNI IDHAM, SE","Partai Persatuan pembangunan",4,"FHOTO.jpg","Perempuan"
134799,1,"IBNU AQIL","Partai Persatuan pembangunan",5,"Fhoto aqil.jpg","Laki-Laki"
150166,1,"H. RUSYDI AW","Partai Persatuan pembangunan",6,"FOTO (1).jpg","Laki-Laki"
276048,1,"ONIE SEPTARINA R","Partai Persatuan pembangunan",7,"Fhoto.jpg","Perempuan"
265493,11,"H. JUHAINI ALIE, SH., MM","Partai Persatuan pembangunan",1,"Foto.jpg","Laki-Laki"
144184,11,"IR. H. DIDI APRIADI, M.AK.","Partai Persatuan pembangunan",2,"Foto.jpg","Laki-Laki"
260479,11,"CITRA DEWI, SH","Partai Persatuan pembangunan",3,"Foto.jpg","Perempuan"
143656,11,"HENDRA DINATHA, SH., MH","Partai Persatuan pembangunan",4,"Foto.jpg","Laki-Laki"
264547,11,"DWI LISTIANTI, S.Si","Partai Persatuan pembangunan",5,"Dwi Listianti.jpg","Perempuan"
268227,11,"MARIA SUSANTI","Partai Persatuan pembangunan",6,"Foto.jpg","Perempuan"
188126,11,"SRI HERLINA","Partai Persatuan pembangunan",7,"Foto.jpg","Perempuan"
190861,11,"M. RIZKY HIDAYATULLAH","Partai Solidaritas Indonesia",1,"foto.jpg","Laki-Laki"
28967,11,"DEDY BACHTIAR","Partai Solidaritas Indonesia",2,"foto oke.jpeg","Laki-Laki"
99144,11,"PUTRI CITRA AYU PRIMA","Partai Solidaritas Indonesia",3,"IMG_6762 copy.jpg","Perempuan"
99883,11,"ANDES PARIA INDAH NS, SE","Partai Solidaritas Indonesia",4,"IMG_6716.jpg","Perempuan"
160207,11,"M.A AZIZ HARTANTO, S.MN","Partai Solidaritas Indonesia",5,"poto P Aziz baru_001.jpg","Laki-Laki"
181940,11,"ROBIN MARTINUS, ST","Partai Solidaritas Indonesia",6,"Foto.JPG","Laki-Laki"
100757,11,"VERA PUSPITA SARI","Partai Solidaritas Indonesia",7,"foto.JPG","Perempuan"
32496,11,"YAND ABRAHAM D. MANALU, ST","Partai Solidaritas Indonesia",8,"FOTO.JPG","Laki-Laki"
74742,11,"Ir. H. ACHMAD HAFISZ TOHIR","PARTAI AMANAT NASIONAL",1,"4x6 putih OK.jpg","Laki-Laki"
44692,11,"Mayjen TNI (Purn). H. ISKANDAR M. SAHIL, SE, M.Si","PARTAI AMANAT NASIONAL",2,"myjen.jpg","Laki-Laki"
125110,11,"DEASY AMBAR SARI","PARTAI AMANAT NASIONAL",3,"R OKKKK.jpg","Perempuan"
113620,11,"KMS H. M. UMAR HALIM","PARTAI AMANAT NASIONAL",4,"OK.jpg","Laki-Laki"
78135,11,"ITEH SIMON","PARTAI AMANAT NASIONAL",5,"IMG_4381OK.jpg","Laki-Laki"
125032,11,"IKLIMA RIA, S.Ag","PARTAI AMANAT NASIONAL",6,"IMG_3937 OK BIRU OKKKKKKKKKKKK UP.jpg","Perempuan"
136800,11,"dr. ROYS","PARTAI AMANAT NASIONAL",7,"IMG_5201OK.jpg","Laki-Laki"
106197,11,"KARTIKA HAYATI, SP","PARTAI AMANAT NASIONAL",8,"putih OKKKKKKKK.jpg","Perempuan"
247252,11,"EDDY GANEFO","Partai Hati Nurani Rakyat",1,"EDDY GANEFO SUMSEL 1.PNG","Laki-Laki"
302792,11,"H. ALEX SATO BYA, SH","Partai Hati Nurani Rakyat",2,"13_2.jpg","Laki-Laki"
302791,11,"ENI SURYANI","Partai Hati Nurani Rakyat",3,"13_3.jpg","Perempuan"
229651,11,"ALI AMIN","Partai Hati Nurani Rakyat",4,"ALI AMIN.PNG","Laki-Laki"
302790,11,"Hj. DAHRIAH. A","Partai Hati Nurani Rakyat",5,"13_5.jpg","Perempuan"
156098,11,"Ir. H. ISHAK MEKKI, MM","PARTAI DEMOKRAT",1,"Ir H. Ishak Mekki, MM.jpg","Laki-Laki"
157010,11,"SYOFWATILLAH MOHZAIB, S.Sos. I","PARTAI DEMOKRAT",2,"Syofwatillah Mohzaib, S.Sos. I.jpg","Laki-Laki"
157245,11,"Dra. HJ. NURWATI WAHAB, MM","PARTAI DEMOKRAT",3,"DRA. HJ NURWATI WAHAB, MM-resize.jpg","Perempuan"
155827,11,"ADITYA PRATAMA","PARTAI DEMOKRAT",4,"ADITYA PRATAMA.jpg","Laki-Laki"
257054,11,"ROGAYATI BAIDJURI","PARTAI DEMOKRAT",5,"ROGAYATI BAIDJURI-croped.jpg","Perempuan"
203000,11,"DESY KASNAYATI","PARTAI DEMOKRAT",6,"DESY KASNAYATI.jpg","Perempuan"
257094,11,"IRDIANSYAH","PARTAI DEMOKRAT",7,"irdiansyah.jpg","Laki-Laki"
297913,11,"HUSYAM, ST., S.Sos., M.Si","PARTAI DEMOKRAT",8,"FOTO.jpg","Laki-Laki"
34883,11,"Ir. AFRIANSYAH NOOR, M.Si","Partai Bulan Bintang",1,"FOTO AFRIANSYAH.jpg","Laki-Laki"
256035,11,"YOSI ROSMANIAR","Partai Bulan Bintang",2,"FOTO YOSI.jpg","Perempuan"
224713,11,"AZHAR ZAINURI, SE., M.M","Partai Bulan Bintang",3,"Untitled1.jpeg","Laki-Laki"
145413,11,"WARDATUL ADAWIYAH, A.Md","Partai Bulan Bintang",4,"wardatul adawiyah.jpg","Perempuan"
214055,11,"DESI KARTIKA","Partai Bulan Bintang",5,"DESI KARTIKA.jpg","Perempuan"
144225,11,"IBNU UTAMA, ST","Partai Bulan Bintang",6,"IBNU UTAMA.jpg","Laki-Laki"
304897,11,"YUDI YOLANDO","Partai Bulan Bintang",7,,"Laki-Laki"
37366,1,"DRS. H ANHARUDDIN, SE, MM","Partai Solidaritas Indonesia",1,"PAS FOTO.JPG","Laki-Laki"
100805,1,"YAZIR AKRAMULLAH","Partai Solidaritas Indonesia",2,"FOTO.jpeg","Laki-Laki"
211482,1,"NURTI SARIANI","Partai Solidaritas Indonesia",3,"FOTO.jpeg","Perempuan"
211293,1,"HERLINA","Partai Solidaritas Indonesia",4,"FOTO.jpg","Perempuan"
212383,1,"NUR MAILIS","Partai Solidaritas Indonesia",5,"FOTO.jpeg","Perempuan"
88729,1,"AHMAD NABIL","Partai Solidaritas Indonesia",6,"foto.jpg","Laki-Laki"
44448,1,"SAFRAN","Partai Solidaritas Indonesia",7,"9. PAS FOTO - SAFRAN.JPG","Laki-Laki"
61836,11,"DRS. RAMLAN HOLDAN","Partai Kebangkitan Bangsa",1,"pasfoto.jpg","Laki-Laki"
22570,11,"H. ANDRIYANTO, SE. MM","Partai Kebangkitan Bangsa",2,"pasfoto.jpg","Laki-Laki"
61417,11,"MARYAM YUSNIHARTI, M.PD.I","Partai Kebangkitan Bangsa",3,"pasfoto.jpg","Perempuan"
92457,11,"DR. KUWATNO, S.PD., M.SI","Partai Kebangkitan Bangsa",4,"pasfoto.jpg","Laki-Laki"
295761,11,"H. AGUS SALAM, SH","Partai Kebangkitan Bangsa",5,"E-Foto_Agus Salam_Sumsel I.jpg","Laki-Laki"
68737,11,"PRIHARTINADYA","Partai Kebangkitan Bangsa",6,"pasfoto.jpg","Perempuan"
62548,11,"INTAN MAYA SARI, S.PD.I","Partai Kebangkitan Bangsa",7,"pasfoto.jpg","Perempuan"
29483,11,"NURKHOLIS, SH., MA","Partai Kebangkitan Bangsa",8,"pasfoto.jpg","Laki-Laki"
82131,11,"ADV. DR. (HC). SAMBAS, S.I.P, M.H.","Partai Keadilan dan Persatuan Indonesia",1,"sambas FOTO.jpg","Laki-Laki"
298278,11,"MURATERUNA","Partai Keadilan dan Persatuan Indonesia",2,"murateruna sumsel 1.jpg","Laki-Laki"
119905,11,"SAFITRI VILLY UTAMI","Partai Keadilan dan Persatuan Indonesia",3,"foto 4x6.jpg","Perempuan"
69405,11,"MALARIYANTO AGUSMANJAYA, S.E.","Partai Keadilan dan Persatuan Indonesia",4,"foto 4x6.jpg","Laki-Laki"
119812,11,"RR DUDY DARMAGATI","Partai Keadilan dan Persatuan Indonesia",5,"sumsel 1 - rr dudi - pas foto_1.jpg","Perempuan"
28917,1,"H. MUSLIM AYUB, S.H., M.M.","PARTAI AMANAT NASIONAL",1,"FOTO MUSLIM AYUB BERJAS PAN.jpeg","Laki-Laki"
30195,1,"MOHD ALFATAH, S.Ag","PARTAI AMANAT NASIONAL",2,"FOTO 4R.jpg","Laki-Laki"
112209,1,"ZAKIYAH DRAZAT, S. Tr. Keb","PARTAI AMANAT NASIONAL",3,"zakiyah.JPG","Perempuan"
202211,1,"H. NAZARUDDIN DEK GAM","PARTAI AMANAT NASIONAL",4,"Foto putih.jpg","Laki-Laki"
122594,1,"LELI HERAWATI, A.Md","PARTAI AMANAT NASIONAL",5,"Leli Herawati.jpg","Perempuan"
35028,1,"MARGONINGSIH, SE","PARTAI AMANAT NASIONAL",6,"gfgf.JPG","Perempuan"
30115,1,"SULAIMAN ALI","PARTAI AMANAT NASIONAL",7,"Sulaiman Ali.jpg","Laki-Laki"
102407,11,"EDHY PRABOWO, MM., MBA","PARTAI GERAKAN INDONESIA RAYA",1,"FOTO EDHY PRABOWO MM,MBA_20180713_0001.jpg","Laki-Laki"
79735,11,"Ir. EDDY SANTANA PUTRA, MT","PARTAI GERAKAN INDONESIA RAYA",2,"FOTO EDDY SANTANA_20180713_0001.jpg","Laki-Laki"
89557,11,"SITI NURIZKA PUTERI JAYA, SH., MH","PARTAI GERAKAN INDONESIA RAYA",3,"FOTO SITI NURIZKA PUTERI JAYA_20180713_0001.jpg","Perempuan"
79004,11,"Drs. H. DJABARUDDIN AHMAD, ME","PARTAI GERAKAN INDONESIA RAYA",4,"PASS PHOTO DJABARUDDIN AHMAD_20180714_0001.jpg","Laki-Laki"
199435,11,"DAVIT SAHER WATAYASI, S.IP., M.IP","PARTAI GERAKAN INDONESIA RAYA",5,"foto davit.jpg","Laki-Laki"
200040,11,"RENNY ASTUTI, SH., S.PN","PARTAI GERAKAN INDONESIA RAYA",6,"FOTO _20180731_0001.jpg","Perempuan"
188305,11,"JESSI DWI SUDA","PARTAI GERAKAN INDONESIA RAYA",7,"FOTO_20180726_0001.jpg","Perempuan"
181856,11,"MAHIPAL EDWIN, SH","PARTAI GERAKAN INDONESIA RAYA",8,"FOTO MAHIPAL EDWIN_20180713_0001.jpg","Laki-Laki"
179091,1,"IBNU RUSDI, S.E","Partai Hati Nurani Rakyat",1,"IBNU RUSDI. SE.PNG","Laki-Laki"
175711,1,"ROHAYA","Partai Hati Nurani Rakyat",2,"ROHAYA.PNG","Perempuan"
64683,1,"ZULKARNAINI","Partai Hati Nurani Rakyat",3,"ZULKARNAINI.PNG","Laki-Laki"
177887,1,"ROSNANI DJAKFAR","Partai Hati Nurani Rakyat",4,"ROSNANI DJAKFAR.PNG","Perempuan"
173881,1,"AGUSNIN ARIF","Partai Hati Nurani Rakyat",5,"AGUSNIN ARIF.PNG","Laki-Laki"
302759,1,"AZIZAH","Partai Hati Nurani Rakyat",6,"1101_6.jpg","Perempuan"
7369,11,"Ir. H. NAZARUDIN KIEMAS","PARTAI DEMOKRASI INDONESIA PERJUANGAN",1,"3. foto NK.jpg","Laki-Laki"
24555,11,"H. DARMADI DJUFRI, S.H., M.H.","PARTAI DEMOKRASI INDONESIA PERJUANGAN",2,"3. FOTO.JPG","Laki-Laki"
120982,11,"RIEZKY APRILIA, S.H., M.H.","PARTAI DEMOKRASI INDONESIA PERJUANGAN",3,"3. FOTO.jpg","Perempuan"
296432,11,"DIAH OKTA SARI","PARTAI DEMOKRASI INDONESIA PERJUANGAN",4,"3. FOTO.JPG","Perempuan"
267402,11,"DODDY JULIANTO SIAHAAN, S.H.","PARTAI DEMOKRASI INDONESIA PERJUANGAN",5,"3. foto.jpg","Laki-Laki"
303420,11,"HARUN MASIKU, S.H.","PARTAI DEMOKRASI INDONESIA PERJUANGAN",6,,"Laki-Laki"
267684,11,"Dra. SRI SUHARTI, M.Si","PARTAI DEMOKRASI INDONESIA PERJUANGAN",7,"3. SRI SUHARTI FOTO.jpg","Perempuan"
267971,11,"IRWAN TONGARI, S.E.","PARTAI DEMOKRASI INDONESIA PERJUANGAN",8,"FOTO-1.jpg","Laki-Laki"
139177,1,"H. TEUKU RIEFKY HARSYA","PARTAI DEMOKRAT",1,"01-H. TEUKU RIEFKY HARSYA.jpg","Laki-Laki"
139707,1,"M. TANWIER MAHDI, S.Ag.MM","PARTAI DEMOKRAT",2,"M. TANWIER MAHDI, S.AG.MM.jpg","Laki-Laki"
200682,1,"ZAIYANA PUTRI, S.Pd.M.Pd","PARTAI DEMOKRAT",3,"03-ZAIYANA PUTRI, S.PD.M.PD.jpg","Perempuan"
139502,1,"M. ALI YAKOB","PARTAI DEMOKRAT",4,"04-M. ALI YAKOB.jpg","Laki-Laki"
